id,name,duration_min,type,audience,delivery,group,syllabus_day,soft_vs_hard,practice_sd,owner_id,ready,location,tags,notes,source
historic-american-flag-presentation-star-spangled-banner-flag,Historic American Flag Presentation: Star-spangled Banner Flag,15,presentation,troop,Troop,C,4,hard,,,Not started,Troop assembly area,syllabus|troop|flag|ceremony,Historic flag presentation during troop assembly; connects American heritage to leadership and citizenship.,authority
historic-american-flag-presentation-the-46-star-flag-of-1908,Historic American Flag Presentation: The 46-Star Flag of 1908,15,presentation,troop,Troop,C,5,hard,,,Not started,Troop assembly area,syllabus|troop|flag|ceremony,Historic flag presentation during troop assembly; connects American heritage to leadership and citizenship.,authority
alternate-historic-american-flag-presentation-if-not-using-state-flag,Alternate Historic American Flag Presentation (if not using state flag),15,presentation,troop,Troop,C,6,hard,,,Not started,Troop assembly area,syllabus|troop|flag|ceremony,Historic flag presentation during troop assembly; connects American heritage to leadership and citizenship.,authority
breakfast,Breakfast,60,meal,troop,Troop,,,hard,,,,,spine-26-1|meal,"From 26-1 schedule: 60 min, day 2,3,5,6. Review duration.",spine-26-1
cracker-barrel-patrol-time,Cracker Barrel / Patrol Time,60,meal,troop,Troop,,,hard,,,,,spine-26-1|meal,"From 26-1 schedule: 60 min, day 1. Review duration.",spine-26-1
dinner,Dinner,60,meal,troop,Troop,,,hard,,,,,spine-26-1|meal,"From 26-1 schedule: 60 min, day 1,2,5. Review duration.",spine-26-1
lunch,Lunch,60,meal,troop,Troop,,,hard,,,,,spine-26-1|meal,"From 26-1 schedule: 45/60 min, day 1,2,3,4,5,6. Review duration.",spine-26-1
outpost-feast,Outpost Feast,45,meal,troop,Troop,,,hard,,,,,spine-26-1|meal,"From 26-1 schedule: 45 min, day 4. Review duration.",spine-26-1
final-gilwell,Final Gilwell,45,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 45 min, day 6. Review duration.",spine-26-1
gilwell,Gilwell,45,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 45 min, day 1,2,3,5,6. Review duration.",spine-26-1
inspirational-campfire,Inspirational Campfire,60,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 60 min, day 5. Review duration.",spine-26-1
lovefest,Lovefest,45,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 45 min, day 4. Review duration.",spine-26-1
model-campfire,Model Campfire,60,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 60 min, day 1. Review duration.",spine-26-1
opening-gilwell,Opening Gilwell,45,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 45 min, day 4. Review duration.",spine-26-1
participant-campfire,Participant Campfire,30,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 30 min, day 5. Review duration.",spine-26-1
patrol-callout,Patrol Callout,15,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 15 min, day 1. Review duration.",spine-26-1
patrol-flag-time,Patrol Flag Time,60,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 60 min, day 1. Review duration.",spine-26-1
scouts-own-service,Scouts' Own Service,30,ceremony,troop,Troop,,,hard,,,,,spine-26-1|ceremony,"From 26-1 schedule: 30 min, day 2,5. Review duration.",spine-26-1
model-patrol-meeting,Model Patrol Meeting,30,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 30 min, day 2. Review duration.",spine-26-1
model-plc,Model PLC,30,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 30 min, day 2. Review duration.",spine-26-1
model-troop-meeting,Model Troop Meeting,90,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 90 min, day 2. Review duration.",spine-26-1
patrol-meeting,Patrol Meeting,30,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 30 min, day 3,5,6. Review duration.",spine-26-1
plc-meeting,PLC Meeting,30,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 30 min, day 3,4,5,6. Review duration.",spine-26-1
spl-election,SPL Election,15,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 15 min, day 3. Review duration.",spine-26-1
troop-meeting,Troop Meeting,60,meeting,troop,Troop,,,hard,,,,,spine-26-1|meeting,"From 26-1 schedule: 60 min, day 3,4. Review duration.",spine-26-1
outpost,Outpost,240,outpost,troop,Troop,,,hard,,,,,spine-26-1|outpost,"From 26-1 schedule: 15 min, day 4. Review duration.",spine-26-1
geocaching-activity,Geocaching Activity,30,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 30/60 min, day 3,4. Review duration.",spine-26-1
getting-to-know-you-games,Getting to Know You Games,30,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 30 min, day 1. Review duration.",spine-26-1
hidden-diversity-within-us-game,Hidden Diversity Within Us Game,30,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 30 min, day 5. Review duration.",spine-26-1
lego-challenge,Lego Challenge,60,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 60 min, day 2. Review duration.",spine-26-1
movie-discussion,Movie Discussion,15,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 15 min, day 2. Review duration.",spine-26-1
movie-night,Movie Night,105,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 105 min, day 2. Review duration.",spine-26-1
patrol-games-challenge,Patrol Games Challenge,30,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 30 min, day 3,5,6. Review duration.",spine-26-1
pioneering-project,Pioneering Project,60,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 60 min, day 2. Review duration.",spine-26-1
solving-problems-round-robin,Solving Problems Round Robin,75,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 75 min, day 2. Review duration.",spine-26-1
styles-of-leadership-game,Styles of Leadership Game,30,game,troop,Troop,,,soft,,,,,spine-26-1|game,"From 26-1 schedule: 30 min, day 4. Review duration.",spine-26-1
break,Break,30,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 30 min, day 1. Review duration.",spine-26-1
camp-cleanup-pack-up,Camp Cleanup / Pack Up,45,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 45 min, day 3,6. Review duration.",spine-26-1
campsite-setup-patrol-formation,Campsite Setup / Patrol Formation,45,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 45 min, day 1. Review duration.",spine-26-1
check-in-trail,Check-in Trail,30,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 30 min, day 4. Review duration.",spine-26-1
depart-for-outpost,Depart for Outpost,60,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 60 min, day 4. Review duration.",spine-26-1
dismissal,Dismissal,15,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 435 min, day 3,6. Review duration.",spine-26-1
lights-out,Lights Out,15,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 15 min, day 1,2,4,5. Review duration.",spine-26-1
pack-for-outpost,Pack for Outpost,30,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 30 min, day 4. Review duration.",spine-26-1
participant-break-early-sleep,Participant Break / Early Sleep,45,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 45 min, day 5. Review duration.",spine-26-1
registration-orientation-trail,Registration / Orientation Trail,60,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 60 min, day 1. Review duration.",spine-26-1
return-from-outpost,Return from Outpost,30,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 30 min, day 5. Review duration.",spine-26-1
staff-break,Staff Break,15,logistics,staff,Staff,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 15 min, day 4. Review duration.",spine-26-1
staff-break-sleep-time,Staff Break / Sleep Time,120,logistics,staff,Staff,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 120 min, day 4. Review duration.",spine-26-1
transition,Transition,15,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 15 min, day 1,2,4,5. Review duration.",spine-26-1
troop-patrol-photos,Troop / Patrol Photos,45,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 45 min, day 2. Review duration.",spine-26-1
wake-up,Wake Up,15,logistics,troop,Troop,,,soft,,,,,spine-26-1|logistics,"From 26-1 schedule: 30 min, day 2,3,5,6. Review duration.",spine-26-1
expectations,Expectations,30,other,troop,Troop,,,soft,,,,,spine-26-1|other,"From 26-1 schedule: 30 min, day 1. Review duration.",spine-26-1
party,Party,60,other,troop,Troop,,,soft,,,,,spine-26-1|other,"From 26-1 schedule: 60 min, day 5. Review duration.",spine-26-1
patrol-quest-presentation,Patrol Quest Presentation,45,other,troop,Troop,,,soft,,,,,spine-26-1|other,"From 26-1 schedule: 45 min, day 6. Review duration.",spine-26-1
patrol-time-song-skit-story,Patrol Time (song / skit / story),45,other,troop,Troop,,,soft,,,,,spine-26-1|other,"From 26-1 schedule: 45 min, day 5. Review duration.",spine-26-1
ypt-session-course-intro,YPT Session (course intro),15,other,troop,Troop,,,soft,,,,,spine-26-1|other,"From 26-1 schedule: 15 min, day 1. Review duration.",spine-26-1
staff-meeting,Staff Meeting,60,meeting,staff,Staff,,,hard,,,,,staff|sd,All-hands staff meeting,extras
presentation-practice-block,Presentation Practice Block,60,staff_task,staff,Staff,,,soft,,,,,staff|sd|practice,Generic rehearsal slot. Prefer placing the actual presentation so coverage tracks it.,extras
tg-patrol-practice,TG Patrol Practice,60,staff_task,staff,TG,,,soft,,,,,staff|sd|tg,Troop Guides rehearse patrol delivery (Com 2-4 and model meetings),extras
qm-work-block,QM Work Block,60,staff_task,staff,Staff,,,soft,,,,,staff|sd|qm,Quartermaster crew work time,extras
qm-inventory,QM Inventory and Gear Check,90,staff_task,staff,Staff,,,soft,,,,,staff|sd|qm,,extras
qm-outpost-prep,QM Outpost Prep,90,staff_task,staff,Staff,,,soft,,,,,staff|sd|qm,Outpost gear and food staging,extras
course-director-briefing,Course Director Briefing,30,meeting,staff,Staff,,,hard,,,,,staff|sd,,extras
dress-rehearsal-walkthrough,Dress Rehearsal Walkthrough,120,staff_task,staff,Staff,,,hard,,,,,staff|sd4,SD4 full run-through,extras
staff-arrival-checkin,Staff Arrival and Check-in,45,logistics,staff,Staff,,,hard,,,,,staff|w1|w2,,extras
to-campsites,To Campsites,30,logistics,troop,Troop,,,soft,,,,,logistics,,extras
